('să', 71.6872278529016)
('eu', 47.7322994536953)
('de', 39.5846618212676)
('că', 35.8568026815509)
('avea', 33.0472354224646)
('si', 31.2430138216396)
('el', 31.0842073218344)
('tu', 25.4385778465856)
('în', 25.2533544474348)
('nu', 24.9944856393334)
('eră', 24.8806452025983)
('fi', 22.5085412030293)
('dragoste', 22.0776121150158)
('al', 19.7088036629759)
('mai', 19.6946068371319)
('la', 19.1938250221437)
('negru', 18.42161126997)
('cu', 18.2368836299454)
('ști', 16.3719021374689)
('acum', 16.0114414333351)
('face', 15.1850226611574)
('mamă', 15.0734421493185)
('pe', 14.9788209114782)
('șină', 14.3659484307151)
('meu', 14.3348554700334)
('ai', 14.0591915575414)
('până', 14.0376467240613)
('spune', 13.7237876040723)
('curcubeu', 13.715999391219)
('car', 13.5182978780902)
('steluță', 13.467032967033)
('lângă', 12.7357983701813)
('da', 12.7159349586478)
('cri', 12.6546920821114)
('vrea', 12.3197834561841)
('fâță', 11.9704630295816)
('iubi', 11.7689885797181)
('crede', 11.7075023358846)
('tău', 11.5456843284123)
('ei', 11.3499258590198)
('păr', 11.3337100450221)
('diamant', 11.2404173329208)
('dar', 11.1921206347569)
('mașină', 11.1197191038623)
('un', 10.9242405885031)
('vedea', 10.4798314156751)
('ochi', 10.0105242482149)
('geană', 9.97681845281482)
('brusc', 9.87480268021478)
('putea', 9.81777258986273)
('zâmbi', 9.64353708035594)
('ce', 9.62124840819689)
('exista', 9.3724327954893)
('ți', 9.30424726338996)
('vitrină', 9.23991368308166)
('fată', 9.11934241459726)
('deveni', 9.10747647068144)
('tramvai', 9.09550555709098)
('galben', 8.968578819182)
('ninge', 8.87143481535865)
('sticlă', 8.57334855245071)
('ca', 8.46443179285121)
('apoi', 8.15271926502187)
('scrie', 8.13669636922024)
('lăsa', 8.11712073215668)
('zice', 7.99258424912942)
('ioana', 7.84615384615385)
('nici', 7.82052883954623)
('atât', 7.81298589185085)
('poem', 7.75918929334091)
('patru', 7.75458692980259)
('doi', 7.71710877856948)
('bloc', 7.63384272846878)
('nor', 7.50421831707695)
('tot', 7.43953411988939)
('stradă', 7.40396467118163)
('ceva', 7.33889029988774)
('deasupra', 7.28265776768563)
('sub', 7.28092460860243)
('din', 7.24093501387407)
('niciodată', 7.2366415454052)
('toamnă', 7.02028246292439)
('cum', 6.92711224450507)
('doar', 6.89582579462691)
('lume', 6.88970886229028)
('plastic', 6.86538461538462)
('trebui', 6.85759194254657)
('încât', 6.81488843475718)
('poezie', 6.7537547904177)
('viață', 6.74836503552688)
('pentru', 6.73562684396362)
('trece', 6.71230175693623)
('așa', 6.56488360269534)
