('spune', 2.83940433187702)
('el', 2.39109287091034)
('să', 2.37637219401884)
('veda', 2.23868519087874)
('si', 2.01567831107352)
('inimioară', 1.94476850164054)
('nu', 1.88637627466667)
('pre', 1.88047920179605)
('răpune', 1.87570314258468)
('turbura', 1.87384591254724)
('sadă', 1.85750180580556)
('strica', 1.83378119483281)
('ți', 1.78927831988269)
('eu', 1.76061760280023)
('boală', 1.72399046991739)
('fă', 1.65079875661445)
('tu', 1.60664702188961)
('fi', 1.50056941353529)
('bea', 1.41428722140985)
('de', 1.41373792218813)
('nici', 1.3034214732577)
('laș', 1.27153261365041)
('undă', 1.26435751356341)
('arăta', 1.20263596368574)
('mai', 1.17229802601976)
('verde', 1.15498002515018)
('ce', 1.14538671526154)
('șină', 1.09663728478741)
('trece', 1.05983711951625)
('durea', 1.04862906882965)
('floare', 1.00356683279666)
('dohtorie', 0.980769230769231)
('jaleste', 0.980769230769231)
('livede', 0.980769230769231)
('repune', 0.980769230769231)
('turturea', 0.980769230769231)
('văcări', 0.980769230769231)
('rădica', 0.977106227106227)
('amărî', 0.974390243902439)
('soțioară', 0.969985621854781)
('vânător', 0.969072164948454)
('romanesc', 0.968858196597923)
('păsărică', 0.968124341412013)
('singurel', 0.967787188880908)
('tulpină', 0.965203139947105)
('lang', 0.959704599524187)
('soție', 0.943172651763175)
('pedepsi', 0.943103463658031)
('moștean', 0.938595000889807)
('urmaș', 0.930070604580646)
('ț', 0.929591333409068)
('dumbravă', 0.928291670270655)
('apă', 0.922439015019656)
('ramură', 0.920861794611206)
('vază', 0.913631867909948)
('însoți', 0.901942209410773)
('chinui', 0.897347065755403)
('cinsti', 0.893914649122948)
('oh', 0.89068356588236)
('patrie', 0.880218262681409)
('câteodată', 0.854956918846989)
('încât', 0.851861054344648)
('jale', 0.829663935049481)
('în', 0.826473418279684)
('un', 0.825669346805469)
('mânca', 0.820027354879766)
('biet', 0.816697088312461)
('duce', 0.815779495251752)
('frică', 0.807917496509546)
('umbla', 0.806602872124055)
('limbă', 0.806558937247838)
('când', 0.806193483218348)
('pricepe', 0.798239616004413)
('muncă', 0.794428929056677)
('grădină', 0.772649581342404)
('moară', 0.767850844811789)
('al', 0.758030910114456)
('cu', 0.719876985392583)
('dori', 0.711848601708999)
('usca', 0.711616817735833)
('vai', 0.701222867239365)
('zbura', 0.694385319686484)
('răuplatnic', 0.689448472576012)
('tăia', 0.686233388045)
('tot', 0.685220247884549)
('căuta', 0.677531228824704)
('amar', 0.671556366793183)
('prin', 0.670522738389922)
('până', 0.668459367812442)
('rugă', 0.663289251729547)
('căci', 0.662073317211032)
('dar', 0.658360037338644)
('șa', 0.638798612002043)
('cunoaște', 0.637706233339643)
('ca', 0.637107769354392)
('altul', 0.632735024512009)
('trăi', 0.629919809920097)
('răspunde', 0.629191882227856)
('rece', 0.613971990018223)
('din', 0.609050608643614)
('atât', 0.600998914757758)
('zară', 0.591081275202048)
('adânc', 0.587981334238183)
('bine', 0.581630762534771)
('decât', 0.576647922297299)
('crește', 0.575694991279573)
('mei', 0.570616273723082)
('acolo', 0.561227424060782)
('pierde', 0.552806546572631)
('ascunde', 0.550043363643085)
('simți', 0.549739731547391)
('înalt', 0.548687064908054)
('cuvânt', 0.539927948507189)
('cât', 0.510885311218907)
('om', 0.493469018429432)
('că', 0.491189077829465)
('cădea', 0.489305808585629)
('inimă', 0.487688967344958)
('uita', 0.48080623422549)
('lumină', 0.480588018603053)
('începe', 0.448627691118461)
('ei', 0.42036762440814)
('pe', 0.413208852730432)
('sta', 0.407315461659806)
('pentru', 0.396213343762566)
('putea', 0.392710903594509)
('da', 0.385331362383268)
('întra', 0.367486219675075)
('pestă', 0.337219436715636)
('iar', 0.320008170410102)
('cum', 0.314868738386594)
('veni', 0.308590417257936)
('dor', 0.281027788182318)
('vâna', 0.26822241480074)
('alb', 0.264060964032361)
('suflet', 0.261275867863882)
('lună', 0.253730936350904)
('cer', 0.250143078902381)
('umbră', 0.216643571912577)
('pădure', 0.176463561848133)
('munte', 0.172496000708209)
('printre', 0.169853103317459)
('lovi', 0.154303605359171)
('aripă', 0.153461094546808)
('ploaie', 0.152834495620034)
('întinde', 0.150030313961971)
('ieși', 0.147900593797132)
('suna', 0.125778903172298)
('ușor', 0.125199941044053)
('ceas', 0.117620510726525)
('cald', 0.102746599856069)
('roată', 0.0996689289747572)
('lemn', 0.093577173923536)
('copac', 0.0863663563130704)
('ceată', 0.0827035757214052)
('ploua', 0.0785053542610972)
('larg', 0.0774844096856536)
('pătrunde', 0.0770066394140808)
('singurătate', 0.0765288689140204)
('palmă', 0.0764315750077376)
('răsuna', 0.0647167353416064)
('vultur', 0.0632724525661548)
('ram', 0.0536144599411092)
('culm', 0.0535513877761992)
('păși', 0.0496267657469076)
('arbor', 0.0484380677907444)
('poiană', 0.0419745809170748)
('vulpe', 0.0381474465321071)
('pisc', 0.0326737240367205)
('genune', 0.0291991265176682)
('înseta', 0.0243309172230277)
('prelinge', 0.0195616020172179)
('foșnet', 0.0168416037184635)
('înstela', 0.0166775349611874)
('roșcat', 0.0120840814483927)
('mușchi', 0.0110579246004412)
('ceață', 0.0105410300057493)
('nervură', 0.00594823645265416)
('fumega', 0.004383633917361)
('dens', 0.00340539084365442)
('alunecind', 0.00251020397002358)
('cetiniș', 0.0)
