('șa', 28.7459375400919)
('tară', 12.4384228145201)
('x', 10.6761940534191)
('eu', 9.97683308253466)
('si', 9.42626033707912)
('in', 8.93581739188663)
('verde', 8.66235018862635)
('de', 7.56765593641881)
('tinerețe', 6.60258481808082)
('el', 6.07736104689711)
('în', 5.23433164910467)
('fi', 5.11958976382628)
('nu', 4.95173772100001)
('avea', 4.9416426799947)
('neam', 4.92471855743082)
('tu', 4.81994106566884)
('al', 4.73769318821535)
('la', 4.68686424959323)
('meu', 4.14118046912075)
('foaie', 4.07165733304276)
('fântânar', 3.92307692307692)
('cu', 3.91933025380406)
('spația', 3.851509501329)
('dac', 3.73769958284591)
('ști', 3.59383217651757)
('din', 3.58663136201239)
('spre', 3.52024275906645)
('adăpa', 3.50918302429443)
('săpa', 3.44514262191728)
('fără', 3.40972362138961)
('vrea', 3.35994094259567)
('libertate', 3.34487497842401)
('pe', 3.30567082184346)
('bărbat', 3.28472393716409)
('ți', 3.22070097578883)
('fântână', 3.12346394869734)
('strigă', 3.10464721431973)
('pământ', 3.06615709156954)
('sorb', 3.0362265013571)
('om', 2.96081411057659)
('crinerouri', 2.94230769230769)
('diana', 2.94230769230769)
('ceahlău', 2.90541090317331)
('un', 2.85808620048047)
('cuteza', 2.82190608850294)
('împușca', 2.80942085774738)
('ocară', 2.78746235996166)
('dunăre', 2.73290438593287)
('timp', 2.71010480746503)
('dar', 2.63344014935458)
('plânge', 2.59778406599357)
('răbda', 2.59596779177728)
('turbă', 2.5850330861719)
('acest', 2.55845355078228)
('viață', 2.53063688832258)
('șină', 2.52226575501104)
('veac', 2.47597803150836)
('străbun', 2.45428181190962)
('preface', 2.44214081665984)
('etern', 2.40342293428495)
('au', 2.39944647167933)
('spată', 2.37829676767814)
('bât', 2.37726247722608)
('blestem', 2.3533200181515)
('foame', 2.34569997509454)
('mai', 2.34459605203951)
('părinte', 2.31512056102428)
('culoar', 2.29369822553145)
('mormânt', 2.26807260849859)
('alerga', 2.23059335717562)
('moarte', 2.16021907403494)
('ca', 2.09335409930729)
('când', 2.06806154390794)
('semn', 2.06291554952163)
('tăia', 2.058700164135)
('azi', 2.04077192717534)
('prin', 2.01156821516977)
('azăvadă', 1.96153846153846)
('circ', 1.96153846153846)
('fringe', 1.96153846153846)
('jungher', 1.96153846153846)
('muzicuță', 1.96153846153846)
('dud', 1.95802744972869)
('căuș', 1.95482295482295)
('isteric', 1.95482295482295)
('gravitate', 1.95109211775878)
('măscărici', 1.95109211775878)
('excita', 1.94810744810745)
('vampir', 1.94719687092568)
('arde', 1.93599092932568)
('lanternă', 1.93424317617866)
('zăpadă', 1.93009355895485)
('da', 1.92665681191634)
('mânz', 1.92393901811912)
('eroic', 1.92281041031911)
('lumină', 1.92235207441221)
('grotă', 1.91299711243333)
('constelat', 1.90230372576977)
('zbor', 1.90177938977945)
('chiui', 1.8962169765347)
('hăitui', 1.89477000966369)
('bulevard', 1.88976261718292)
('ciutură', 1.88726333907057)
('prigoni', 1.87669584765447)
('glonț', 1.87630224363466)
('zbucium', 1.86616925331383)
('sfânt', 1.85766680435954)
('triunghi', 1.84710724708472)
('apă', 1.84487803003931)
('înstrăina', 1.84338666170589)
('dintru', 1.8429319643375)
('dărâma', 1.83990071804418)
('venit', 1.83896353749394)
('ce', 1.83261874441846)
('scălda', 1.8132704874062)
('bucium', 1.8130167015368)
('lacom', 1.81099543744)
('lacrimă', 1.80189562515702)
('plinge', 1.80149047670288)
('cuțit', 1.7745444609561)
('sânt', 1.75045416237505)
('sânge', 1.74574901145675)
('doină', 1.74187477819396)
('mult', 1.73857752015428)
('eră', 1.73585896762313)
('cânta', 1.7330151660398)
('omeni', 1.72404036121397)
('acum', 1.71551158214305)
('mușca', 1.71301110544925)
('nemuri', 1.70593626025184)
('lipsi', 1.69808649690672)
('stăpân', 1.67946325059534)
('tot', 1.66410631629105)
('treaz', 1.66257469039321)
('țintă', 1.64179891887012)
('călare', 1.63820745122063)
('rosti', 1.63184105311405)
('istorie', 1.62139145485956)
('lume', 1.62110796759771)
('război', 1.60164177408128)
('măcar', 1.59674048260136)
('întreba', 1.56957859657115)
('primăvară', 1.55674013040804)
('copia', 1.54342002610033)
('gemă', 1.54244865601085)
('sat', 1.50756747483663)
('cină', 1.49841470358813)
('închina', 1.4967928975005)
('smulge', 1.49651939712076)
('roș', 1.48766510418102)
('trezi', 1.48350082812662)
('rând', 1.46823515988142)
('flacără', 1.45973464385001)
('frate', 1.42641411862095)
('bea', 1.41428722140985)
('veghe', 1.38887855728729)
('puțin', 1.35782674043687)
('nebun', 1.35247372192806)
('taină', 1.34650568089881)
('miră', 1.33912188609012)
('pot', 1.33657157886346)
('urca', 1.32466892268906)
('sta', 1.32377525039437)
('bătrân', 1.32195190057518)
('veni', 1.31150927334623)
('țar', 1.30193221006753)
('iarbă', 1.29295376137758)
('prea', 1.29055314490755)
('laș', 1.27153261365041)
('trist', 1.25002642652224)
('picior', 1.2483856622624)
('ai', 1.240516902136)
('curge', 1.23558707693607)
('aprinde', 1.23368070663679)
('car', 1.22893617073547)
('rece', 1.22794398003645)
('duce', 1.22366924287763)
('iubi', 1.21748157721222)
('naște', 1.19173540881278)
('mână', 1.18749257505255)
('doi', 1.1872475043953)
('bun', 1.1846384477741)
('închide', 1.18193505573342)
('crede', 1.17075023358846)
('gură', 1.16778623003845)
('ține', 1.16213074631141)
('clipă', 1.14702241483827)
('prinde', 1.14679583865166)
('așa', 1.09414726711589)
('întreg', 1.08539290779493)
('cuvânt', 1.07985589701438)
